text,sentiment
i waited listening to wind blowing through the tumbleweed are none of you old enough to know what to do when someone says crackerack,neutral
hell yeah,neutral
him shirt at dinner do you need to ask does it actually have ville on it,neutral
i know,neutral
huh what the smelly noo i love alex vixon,neutral
great,positive
happy bday,positive
thank,positive
happy,positive
glad,positive
thanks,positive
twittering after days,neutral
its too nice,positive
depressed,negative
sick,negative
happy mothers day people i love my mom a lot still,positive
sorry,negative
he was soo friendly,positive
happy,positive
is getting the hang of twitter,neutral
you know your neck is jacked up when you are forced to pay for parking bc you cant turn you head to parallel park in the free spaces,negative
i want it back now,neutral
miss,negative
bathing with two little angels keyla and janice,neutral
chocked,negative
hahahha lol true that i always remember my bd but i can never remember what date or even day it is,neutral
family is herehanging with them,neutral
its gorgeous out,positive
m worried,negative
im not bannished,negative
morning if i get to see it ill let you know right now im going to go see wolverine,neutral
red top tabloids build em up knock em down,neutral
tonight in party w my girls minus vita,positive
why not now you made me sad i thought youd be jumping for joy,neutral
simple my a,neutral
the pics i just uploaded are the baby pics of my cats missy is now an adult and a pretty little kitty but batty is in kitten heaven now,neutral
amazing,positive
glad,positive
i have missed them,negative
live thats what i want more the better bound to be a few bad eggs though but they will soon learn,neutral
hell yeah kellynn got a twitter finally,neutral
as wort,positive
better,positive
ship im stuck,negative
cannot wait,positive
shame,negative
it looks like the office tv does get mlb network and it looks like mlbn will not be televising the detbal game today wieters,neutral
home empty handed no comics found today i shall now indulge in my cupcakes from magnolia bakery,neutral
definitely pinched a nerve,negative
exhausting,negative
i was going to go on sunday but now ive got too much going on that weekend,neutral
sorry,negative
im sad it very hurts,negative
before i get too distracted id like to thank my new followers for taking the trouble to follow me and to my others feelin the love,positive
im broke,negative
not sure it didnt say it was big i jst saw the pics of u on ur last bday you looked so pretty i miss you,neutral
sore throat planning the tet outing to marwell thoughgood times,neutral
it was amazin,positive
now a migraine,negative
there,neutral
sucks,negative
whens the sway sway winner announced,neutral
k will check it out,neutral
doing pretty well,positive
i want to wake up early and get a coffee tomorrow today its going to be a busyy day but have to keep writing boo whoo,neutral
i miss daddy and mommy,negative
officially depressed,negative
i just realized that i cant forward text msgs with my iphone,neutral
exciting,positive
that sucks,negative
bored,negative
i am lost,negative
its a peter gordon morning and i go to pieces and i wanna hide go to pieces and i almost die ever,neutral
bad,negative
lmao smh that one threw me off,neutral
oh nice going,positive
is getting ready for work working all weekend,neutral
partying,positive
i agree with you,positive
am hopeless at everything else,negative
perfect ma,positive
thanks,positive
sorry,negative
i saw amazing heels but they were too big,neutral
stuck,negative
dang,negative
i missed all ur tweets,negative
damnit all that sucks,negative
my boss shes moving to nyc,neutral
this is soo crazy,negative
some stupid,negative
i think i need some new friends,neutral
looking forward to your gig in ireland see ya there,neutral
please re,positive
aww you loove me,positive
is hungry twitter i want food,neutral
awesome lucky you,positive
yea i should know but tell me everything ps send me direct messages telling ha,neutral
love,positive
had a great time out in the beer garden wit the boyos i think the sun got to me a bit though feel a bit ill,neutral
no fun,negative
u really dont think so maybe ur rightlol btw what phone u using think u told me might have an app for,neutral
i feel your pain,negative
comes home in two days,neutral
sadly,negative
cant wait,positive
ehh no just a check up i have a dentist app next week though getting my molar pulledroot canal,neutral
aww i miss driving,negative
omg wango tango was awsome i love my baby for taking me,positive
its very cool,positive
wish,positive
yeah real hard but i know youll get by with it smile,neutral
thats not good,negative
this has made my night way too funny,positive
happy,positive
i make that same face when i get home and your mom is watching soaps,neutral
i have to go to work now,neutral
i cant believe you went and got boba without me,neutral
and to you too how are you today,neutral
thanks,positive
days and counting,neutral
sorry friends,negative
brainfreeze,neutral
just discovered a shortcoming of gravity when you use twitpic integrated it doesnt subtract the pic url from the character limit,neutral
my sunburn is peeling,negative
perky purple nail polish isnt as perky when its chipped,neutral
before they put a camera in the smokers pit i can no longer vandalize that door without being caught,neutral
i dont have no one to cuddle with,negative
hate,negative
sorry,negative
dying,negative
qood morninq,neutral
writing my english original writing storyy and listening to a little respect by erasure aah,neutral
needs more followers,neutral
stupid job,negative
the little wormy from labyrinth sadly passed away today but its ok as hes still around in a happy ghost form,neutral
the no pants idea could be the new attempt worldwide to attract business back to the airlines,neutral
have a good on,positive
she is popular,positive
dosent want to,negative
his voice is great,positive
i wish the birthday massacre would come to australia i think they said theyre thinking about it tho,neutral
was hoping to go to red lobster this weekend,neutral
lucky,positive
i sure do hope,positive
congrats,positive
passed away,negative
you are such amazing people,positive
cool,positive
so no rice or crusty bread with the chili aaww,neutral
we are of like minds this evening my dear,neutral
come and save me from my packing please,neutral
yes i love tea,positive
a mouth for sure,positive
i finally just have hour of history at pm but i went to my highschool at am to make some homework with a friend,neutral
thanks,positive
s i just dont entertain him,negative
kill me,negative
both electronic keys stopped working there is no keyhole,negative
good,positive
poor tony,negative
goodmorning,positive
i dont really feel like,negative
i love mine too happy motherã¯â¿â½s day to your mom john taylor much love to you too,positive
saw a black snake in the garden went back for a picture and it was gone,neutral
best,positive
no waterfront anymore,negative
loves her mum very much happy mothers day to all the wonderful mothers out there,positive
feeling like poop,negative
excited,positive
then you cry,negative
discovered and are sharing on g reader with me and didnt even know it sigh im such a g reader newb,neutral
is chilled out tonite so cannot spew venom or write funny seems like these are the only styles she has,neutral
if u do please pray me lord knows i need it,neutral
aaw i want to live in the usa,neutral
morning tweeple,positive
hey i didnt get any,neutral
name,positive
that makes my day so much better its been a rough one did i mention i love the new photo,neutral
i dont want to sit at home,negative
wishing,positive
concert tonight chackin out and not coming tomorrow,neutral
what happened i thought you were coming back today,neutral
dammit,negative
lol,positive
still jealous,negative
me at forever ethan couldnt be there,negative
sad,negative
not easy,negative
wow what a beautiful pictur,positive
looks good,positive
there are people and then there are pencils some are sharp some are not and some can be sharpened my pencil philosophy,neutral
just about to go home im usually mr positive but this has been one of those daze well mins until tomorrow,neutral
but you always have lee lets go to paris,neutral
a nice,positive
having lots of fun,positive
bouncing rush makes me feel nauseous,negative
lovely day for it,positive
playing singstar without my fave duetter,negative
i like,positive
thats just weird,negative
im a good daughter,positive
thats not cool,negative
alwas helps,positive
lacking,negative
cool,positive
good,positive
i think its under a honeymoon by the good life either that or its under a honey moon by joseph arthur,neutral
swollen,negative
it was hours ago i came in and its only now i realised when i went to buy something online,neutral
oh just referring to our lil exchange on lj with regards to twitter archive postings,neutral
dont act like u dont know,negative
best,positive
im scared of him,negative
missing,negative
mean,negative
not doing so good,negative
back soon need to run to the shops and cut the grass,neutral
im up i have a plan to transform my bedroom today random,neutral
missing,negative
thats another sponsor,neutral
stuck,negative
sad,negative
sorr,negative
is home alone doing hw,neutral
live in poverty,negative
not going well,negative
uploading all my bamboozle pictures of facebook,neutral
congratulations,positive
i miss it there,negative
woke upi wanna stay in my bed,neutral
wack,negative
it would be great if those vips were for some acts id enjoy seeing but noo,neutral
wish i could make it too i hate my commute sometimes,neutral
hopefully i can make some good tips,positive
d there wasnt a chance,negative
hates,negative
thanks for the support,positive
theres really no android twitter app of tweeties calibre,neutral
lovely,positive
nyappy mothers day to your moms,positive
yeah and im gonna take ur picture off my ipod baby,neutral
traumatizing,negative
lol same herewish there was a way to microsize everythinglol,neutral
fail,negative
glad,positive
about to have dinner and then an evening of playing cards already packed and ready to head home tomorrow do we have to go home,neutral
im allergic to cats my tonsils get swollen and they hurt what do i doo,negative
tomorrow will be tough,negative
miss,negative
im glad,positive
thanks,positive
i hope,positive
well,positive
nah jkin hes hot so bored now,neutral
ahh im sqeaky clean and fresh even though im wearing dirty clothes i love two and a half men its amazing,positive
yes i have read them many times,neutral
cuz you play a grown up on twitter,neutral
i am living in ignorance,negative
nope it is telling you that you want cameo creams,neutral
aww were gonna miss you,negative
its a relaxing place,positive
he couldnt do it should have cost his part,neutral
lovely,positive
sorry,negative
dammit,negative
it was amazing,positive
barbs trying to figure out y the dsl aint connecting i need my google going home to my computer if it dont start working soon smh,neutral
sick and sad,negative
seems really quiet tonightam jealous of those who are clearly having a more exciting life than me off to bed i think,neutral
really wishes he had some spare cash to buy the new punch out for wii,negative
not going,negative
so sorry,negative
i feel for you i hope its a smooth flight be safe,positive
cant sleep,negative
sad,negative
sweet dreams,positive
hay wats ur aim we should chat,neutral
okay kool i might be touring all summer long but we can make it happen,neutral
pain,negative
time to watch op then some dead like me then sleep,neutral
having dinner with my grandma since i couldnt be with my mum,neutral
haha thanks its for history and its on how the invention of television has influence america lol,positive
yea so wassup,neutral
stupid,negative
shopped til i droppedcome bac sunshine i miss u,negative
like,positive
thank you ive had anxiety issues,neutral
around hours left until a day weekend and i have waay too much work to do,neutral
loved,positive
there were attempts to somehow extend inner classes which would be close to closure cant find the ref atm,neutral
yes join us all we require is a cupcake donation,neutral
hard,negative
terrible headache and super swollen and puffy eyes i dont think im going out todayugh,negative
cant access your site,neutral
sun is shinningat last,positive
slowest train ever,negative
nup no cd either just a whole bunch of zeros and ones you can have for free,neutral
my graduation day and i feel like a failure,neutral
ops that lol wasnt supposed to got to twitter,neutral
i dont think ive ever been so tierd in my lifeu,negative
what are u going to do today my girl,neutral
why doesnt he want me anymore,negative
bad hair day,negative
headache,negative
sorry,negative
i am just okayokay like the rest of the sane population in the world i hate mondays,neutral
mozarts requiem,neutral
i think i am a bit in love with his creations and wit but not that physically attracted to him although he has great style,neutral
thanks for another great day,positive
huh,negative
ohshnapss is she pissed at blair as usual hahah yeeah i bake cookies,neutral
no bueno hollykins needs to feel better asap ps i miss you you done with uni soon arent you soproudofyo,neutral
awesome,positive
happy,positive
my expression watching this again httptinyurlcomeqbwe,neutral
stupid,negative
i didnt want to tell you but i think its your body odour,negative
nice beta for easports still no news on the online for madden,neutral
bad,negative
missed,negative
unfortunately,negative
fun,positive
discrimination is not a bad thing,positive
sure i can talkthe fabulous part though is out sorry dear,neutral
tease,negative
just got back from working out im feeling pretty good,positive
ahh my satz blend didnt save,neutral
so why should that matter i bet you would be great at it i do its what you love right why not go for it,positive
thank the heavens,positive
my ear are popping,neutral
bad,negative
no answer back,negative
catching up on weeks of lost and greys house is quiet again,neutral
me smile,positive
im kinda o sick n tired,negative
boo,negative
hey phill wazzupp,neutral
missed out,negative
great,positive
finally gone to the beach yeaah,positive
awesome,positive
last weekday of doing nothing school starts next week,neutral
gorgeous girl,positive
hysterical,positive
ok i have to turn off all of my twitter device updates until i get a new battery phone goes from fully charged to dead in about hours,neutral
michelle is a hot mama with chichis grande,neutral
you do rock that much,positive
no one i know likes boiled peanuts t,neutral
loved,positive
ugh these tonsils,negative
please get a cell phone with a better camera on it your pictures are real bad quality compared to those that miley took,neutral
bless,positive
good fun,positive
lost,negative
though that isnt going so well,negative
hooray im hooked already,neutral
good,positive
i agree everybody wouldve been excited and then it goes ohh noo ms screws up again,neutral
edge left me off the contributors list in this months issue,neutral
oo growl and yummy time coming soon for you too huh oh yeah i have been hunting for a combo tshirt think i can find one no,neutral
im back to this zindex problemagain,negative
so bored at work,negative
hating,negative
wwmyspacecomfashionisthenextcity check out and started new tees limited edition in different ways check facebook group too,neutral
they being the husband or the girl,neutral
thinking of what i should do in vegas any good ideas or places that are a most see,neutral
sucks,negative
hi to one kiwi artist from another kiwi artis,neutral
happy mothers day,positive
oo ok why havent you accepted my friends reque,neutral
sorry,negative
no,neutral
love good causes,positive
not available in my area,negative
its friday only more hours until im freeuntil tomorrow oh well,neutral
meeting just in time that iã¯â¿â½m trying to win something prizes friday,neutral
cramps,negative
thank you,positive
s plans didnt go as followed but its ok,neutral
what did you do let me guess you skipped sports and bought a new pinkish outfit,neutral
where is the rain please come out,neutral
my pleasure,neutral
fml,negative
funny,positive
grouchy,negative
worse,negative
i dont have the app that does it,neutral
would help me study for the aptitude tests,positive
out for supper tonight with kurumi in minutes,neutral
cute,positive
loved,positive
hi mariah,neutral
im not at home with my cats right now,neutral
my inbox is still empty,negative
im such a rebel,negative
im sorry,negative
nice,positive
exam today going to get my license renewed the birthday is getting closer,neutral
love,positive
thinks its gonna rain,neutral
good,positive
yrbook signing w evryone was fun im gna miss evrything,neutral
lost,negative
so not close enough that i could run out and get one,neutral
that was stone cold crazy,negative
totally having austin powers withdrawl symptons and darrius withdrawl symptoms and mommy and minne withdrawl syamptoms,neutral
they were so pretty,positive
seniors last day,neutral
no one will help me,negative
thanks,positive
thanks,positive
were getting closer rather than further from real lobby dates chicago squee,neutral
has lost his vocie and adele is laughing at me lol and still wondering why im in college on me week off,neutral
oh sorry not getting all my replies nothing against you,negative
pray for my uncle,positive
gonna scare rachel with quarantine tonight this shall be fun,neutral
omg i wanted to slap her,negative
watching the simpsons,neutral
very specials,positive
great,positive
has work very very soon way too soon,neutral
phaket what did anneliese want to do,neutral
mad,negative
thanks,positive
im hungry wife is at a bodyshop party and is bringing a takeaway home with her how much longer will the party go on,neutral
such a pretty baby,positive
invite them to your house instead,neutral
im a bit bens thaied out,neutral
stackeoverflow,neutral
cute,positive
dead stopped in the express lane this would happen when i choose to take it no way out now ugh hopefully this gets moving,neutral
okeefe yay youre on twitter youre my secret celeb crush too much info,neutral
k thank,positive
fail at life sometimes,negative
wish,positive
points at the gear question i just posted i cant get the rest of my dreadweave set,neutral
you remind me so much of a omaha girl that i use to date i guess it all in the jeans calvin kleins is what she wore,neutral
he gives twitter tips hope this helps,positive
i loved him,positive
lol than,positive
gorgeous,positive
i guess the relaxing dinner and a movie is out for tonighti was looking forward to that after my day at work,positive
my laptop grew speakers now i can watch charlie with the sound on,neutral
rofl uh huh,positive
funny,positive
doesnt that look fab,negative
deadlines,neutral
terrible,negative
irrelevant,negative
im too sick to go outside,negative
good,positive
excited,positive
we wont be home till like next month,neutral
love,positive
bad,negative
screwed,negative
just got laid off lots of people becoming unemployed,negative
e bestt,positive
easties you can go there anytime,neutral
like,positive
lemme guess you ran miles at the gym and are waking your kids up and then going to the beach and or recording studio,neutral
i never knew a dentention was so hard,negative
fun,positive
my nail broke i haate,negative
is disappointing,negative
yep,neutral
love,positive
i hope avalina isnt a dud,negative
anyone want to buy me this anthropomorphic planter only available till the,neutral
its a beautiful day outside today shame im stuck in the office with the blinds shut to stop glare,neutral
woke up and there was sun and then it started to rain,neutral
and the creative vados are out of stock at walmartcom missed it but thanks for tweeting about,neutral
hates,negative
lovely,positive
flapataco was nice until the plebs came in,negative
celebrate,positive
am chillaxin after a busy bankholiday hope everbody had a gd wkend holiday in days,positive
better,positive
wowyou ride hard,positive
check out the flyer i designed for the notary and retrograde httprachellovespeaceblogspotcom let me know what you think,neutral
thanks welcome back,positive
t sucks,negative
sore head,negative
at the office trying to solve the mystery of whose blood is that in the bathroom toilet eeww,neutral
awwi love him his car was soo cute tonight i love me some carlmy old is sad nowlol,neutral
bryan hasnt replied about wingnuts,neutral
watching southpark for another minutes,neutral
es amazi,positive
lmaoha,positive
stupid,negative
tried on all the shoes in new look,neutral
its too early i wanna go back to sleep,neutral
i dont think i am my sisters refusn to get me a ticket now,negative
oh wowhope hes ok u take him the vet,neutral
he died wait what about magic jack i just read it,neutral
ive just woken up,neutral
love,positive
one of the greatest dinners ever,positive
noo its raining,negative
shower class more class taking care of my ladyfriend,positive
great,positive
great,positive
goodmorning twitter oh my gosh i woke up soo nice lol oh hai thar twitterverse happy mothersday everybody,positive
i loved,positive
hubby went to pick up my fringe comics today store by his work that store was out of business too no comix in houston have web,neutral
the world is just amazing,positive
i am completely lost,negative
gadgetopia need to dm you but youre not following me will send email,neutral
cute,positive
got my cable set up win got my lock put on my door win feeling a tad neglected fail,neutral
silly,negative
just had a great talk with grace about how awesome god is and how he worksthat somehow started with how remote controls work,positive
beasted,negative
ill be listening,neutral
oh nou dont have to hit him up he had a family emergency so there was a lil delay just cant wait to see them,neutral
sitting at home doing nothing gonna be like this all weekend,neutral
unsalvageable,negative
flew brisbane lax today great flight love the lights shame about one drink limit thoug,neutral
i think i should go to sleep considering i hav to b up on,neutral
if i told you how often i wash my hair you would never speak to me again,neutral
ended up inventing my own,negative
seems to have disappeared out of my life,negative
happy mothers day to my mom and every mom everywhere off for a stroll at the beaches laterhopefully,positive
ohh i wanna go gahh but i dunnoo s me confuzzledd should i or not,neutral
haha,positive
best,positive
,negative
aww,negative
nothing fair,negative
i am going to see how long i can do this for,neutral
you better come here by the time i count to or else bam,positive
prd take a long time to review,neutral
well,positive
im going to fail this final,negative
thx,positive
how sad are you saying that im fat tears,negative
why thank you i might just take you up on your offer,neutral
cant find it anywhere,negative
i have a major headache,negative
ch fu,positive
mitchel you have no idea how much i want to call you but it costs loads to call from england,neutral
stupid me,negative
very relaxing,positive
yessir that is right,positive
night,neutral
great,positive
sad,negative
too warm,neutral
ada acara menarik lain keys to the vip di channel v ttg straight yg dikasih tasks to approach strangers in the crowd hmm,neutral
well hit me and we can seeit depends then,neutral
thanx,positive
very cute,positive
good,positive
shower time,neutral
cool doown patience is virtue,positive
gotta drop off some car parts for a buddy to press out then to the dentist,neutral
i cant call im at work,neutral
expensive,negative
so tired,negative
happy,positive
am on herefinally and yay seriously that made my day oh fellow hell ruler,neutral
goodnight,positive
doesnt have a hangover and is getting ready for a good ol english fry up,neutral
waiting to put my story about stereo skyline up dont know where to put it boo,neutral
working now,neutral
just at starbucks with farrah,neutral
ginniejean theres a lot of mojo all over the place yes,neutral
third date went wellmoving on to fourth,neutral
mad tired but its the hols i miss chomp chomp terribly,negative
is finally starting her assignments,neutral
good,positive
good,positive
glad,positive
missing,negative
it just had to rain on me,negative
yeah we only went for days im trying to get back in november with my mom for super soak stars weekend,neutral
i miss u guys too i prob wont b bk til august sumtime,positive
okay make sure hes alright kk cuidalo let him know hes a got friend in us aha,neutral
it will if i do it in a round about way i ahve to copy the public contacts into my personal contacts first no big deal,neutral
trying to figure it out,neutral
ill update you i had to leave him at the vet for tests and xrays,neutral
went to see hannah montana movie on saturday loved it still cant work twitter out though,neutral
im a victim,negative
i would slip and fall,negative
looking forward to it,positive
well paisley has one of those cone things around her headso funny but i feel bad for her,neutral
a stop,negative
cant wait to november for jobros concert,positive
been there done that it always ended up with me selling the machine and going back to my mac,neutral
but i feel sorry for marcus though,negative
is sitting thru the boring bits in titanic waiting for the good bit to start in couple of hours,neutral
fire and urban at rock challenge,neutral
cant believe,negative
sorry ba,negative
well now i do,neutral
crazzyy but just this summer cuz ci are very close to rd,neutral
i jus love doin night shifts,positive
morning tweepleway to early again,neutral
reupload the thing again,negative
your updates are really amusing,positive
loves the fact,positive
s not bad,positive
awesome,positive
rough,negative
aww congrats to the family,positive
yay,positive
i cant,neutral
strongly agrees with jason about wolverine but not about hugh jackman sorry no kids for this mouse,neutral
you okay bby,neutral
goodnight,positive
im too late hes gone,negative
lost my internet signal,negative
sorry,negative
good for you mate sadly i couldnt get pissed tonight driving bad times,positive
blood everywhere,negative
pulled up walmart aunt got out went in i fell asleep hours later were r you lol,neutral
searching my home for a few things to cook them for dinner this evening its mothers day so guess who im eating with,neutral
very very cute,positive
woke up at then fell back to sleep woke up at and back to sleep again woke up at and im staying awake morning,neutral
great,positive
hurt my arm,negative
,negative
tiired going to bed,negative
just been in that kind of mood not reason at all lol but ill try not to be too mushy around you i can behave,neutral
i hope,positive
keeps getting such delayed responses why is my internet so messed up,negative
and dont tell burnsy but no comparison between the rocky mountains and mountains in enlgland,neutral
sad,negative
good,positive
i could get away with it dare me ill go buy it tomorrow,neutral
thanks man that sorted it,positive
enjoying,positive
favourite,positive
ok back to packing have been sitting in car charging phone as charger was left home as well,neutral
congratulatory,positive
sadly thats not too often,negative
good times,positive
the sun is not cool,negative
that was meeaann,negative
invisible car helps to boost recycling honest,positive
